"","day1","day2","day3","day4","day5","day6","day7","day8","day9","day10","day11","day12","day13","day14"
"F599",0.368934753971298,0.45540507177295,0.544650610623085,0.631117517155189,0.709910299803845,0.777798507551814,0.83352483803277,0.877476986589827,0.911063204812741,0.936113029724963,0.954460025709305,0.967719837312306,0.977210990574053,0.983957775075084
"F544",0.368965748031837,0.455438087517961,0.544683625314327,0.631148508309651,0.7099377136972,0.777821513762089,0.833543309261153,0.877491297875469,0.911073990635676,0.936120990629913,0.954465811614591,0.967723995512428,0.977213954949929,0.983959876240057
"F540",0.369672982719841,0.456191247298407,0.545436548053398,0.631855089286653,0.710562579139342,0.778345798841102,0.833964173048489,0.877817332706835,0.911319683454463,0.936302319594102,0.954597592021254,0.9678186991553,0.977281467035379,0.984007728134164
"F517",0.370819741324491,0.457411631666412,0.546655682549177,0.632998400999139,0.711573035123777,0.779193151765471,0.834644075117622,0.878343855780475,0.911716354241943,0.93659501688233,0.954810278171716,0.967971529438407,0.977390408094912,0.984084940345087
"M797",0.373723379815799,0.46049705332925,0.549733177250781,0.635880178413663,0.714116478679363,0.781323549258779,0.836351831678994,0.879665360528644,0.912711372181103,0.937328909624377,0.955343387595252,0.968354519737701,0.977663368249892,0.984278379063265
"M543",0.375663734083608,0.462555183947467,0.551782230374624,0.63779549835721,0.715804192942873,0.782735216869665,0.837482153911786,0.880539246844783,0.913368908052019,0.937813639017469,0.95569536988881,0.968607318531344,0.977843505114701,0.984406019164896
"M830",0.378264598905763,0.465309280186763,0.554519448280692,0.640349814519753,0.718051574563222,0.784612579301052,0.838983767313669,0.881699223439753,0.914241152219907,0.938456345586043,0.956161904717813,0.968942306995801,0.978082165268712,0.984575105833125
"M917",0.378681088203609,0.465749814732606,0.554956781578466,0.640757474991985,0.718409890900306,0.784911644405009,0.839222807860054,0.881883777490748,0.914379869392097,0.938558526380138,0.956236059886401,0.968995544244876,0.978120089296838,0.984601972112562
"M566",0.381191893572129,0.468402702596179,0.557587473647983,0.643207064794763,0.720560903278153,0.786705485201756,0.84065564685896,0.882989433103452,0.915210583792617,0.939170257780051,0.956679911587898,0.969314142564434,0.978347020016815,0.984762722312354
"F880",0.385070017340181,0.472490618192163,0.561631414296212,0.646963901007875,0.723852930913929,0.789445974230609,0.842841437302706,0.884674178977542,0.91647528627109,0.94010097220327,0.957354887476712,0.969798477423071,0.978691917195953,0.985006993735544
