"Date","Roost","Group","Age","Sex","Band","ID","switch_w","potential","n.days","switch_w","potential","n.days"
3804.16666666667,"RPO",13,"A","F",542,"F542",1,1,2,0,1,0
3804.16666666667,"RPO",13,"A","F",544,"F544",0,1,0,0,1,0
3804.16666666667,"RPO",13,"A","M",543,"M543",0,1,0,0,1,0
3805.16666666667,"R10",1,"A","F",514,"F514",1,1,1,0,1,0
3805.16666666667,"R10",1,"A","F",517,"F517",1,3,2,0,1,0
3805.16666666667,"R10",1,"A","F",519,"F519",1,3,2,0,1,0
3805.16666666667,"R10",1,"A","F",542,"F542",1,1,1,0,1,0
3805.16666666667,"R10",1,"A","M",513,"M513",3,3,3,0,1,0
3805.16666666667,"R10",1,"A","M",520,"M520",1,3,2,0,1,0
3805.16666666667,"R48",9,"A","F",538,"F538",1,1,1,0,1,0
3805.16666666667,"R48",9,"A","F",540,"F540",3,3,2,0,1,0
3805.16666666667,"R48",9,"A","M",568,"M568",0,1,3,0,1,0
3805.16666666667,"R48",9,"A","M",631,"M631",0,1,3,0,1,0
3805.16666666667,"RPO",13,"A","F",518,"F518",0,1,1,0,1,0
3805.16666666667,"RPO",13,"A","M",543,"M543",0,1,1,0,1,0
3808.16666666667,"R10",1,"A","F",517,"F517",0,1,3,0,1,0
3808.16666666667,"R10",1,"A","F",519,"F519",0,1,3,0,1,0
3808.16666666667,"R10",1,"A","F",542,"F542",0,1,3,0,1,0
3808.16666666667,"R10",1,"A","M",513,"M513",0,1,3,0,1,0
3808.16666666667,"R10",1,"A","M",566,"M566",0,1,0,0,1,0
3808.16666666667,"R10",1,"A","M",568,"M568",1,1,6,0,1,0
3808.16666666667,"R10",1,"J","M",569,"M569",0,1,0,0,1,0
3808.16666666667,"R3A",4,"A","F",514,"F514",1,1,3,0,1,0
3808.16666666667,"R3A",4,"A","F",570,"F570",3,3,10,0,1,0
3808.16666666667,"R3A",4,"A","F",572,"F572",3,3,10,0,1,0
3808.16666666667,"R3A",4,"A","F",577,"F577",0,1,0,0,1,0
3808.16666666667,"R3A",4,"A","F",578,"F578",3,3,10,0,1,0
